"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Senegal,,686,Country/Area,914,2486.64,2545.34,2606.62,2670.73,2737.91,2808.24,2881.77,2958.48,3038.29,3121.09,3206.76,3295.28,3386.8,3481.65,3580.24,3682.88,3789.38,3899.65,4014.11,4133.32,4257.51,4387.53,4522.89,4660.73,4797.19,4929.85,5057.38,5181.51,5306.69,5439.07,5583.16,5740.44,5909.73,6089.57,6277.42,6471.33,6670.67,6875.75,7086.62,7303.51,7526.31,7755.5,7990.09,8226.75,8461.07,8690.16,8912.87,9130.88,9347.78,9568.72,9797.73,10036.1,10283.69,10541.47,10810.09,11090.12,11382.27,11687.08,12004.7,12335.09,12678.14,13033.81,13401.99,13782.43,14174.74,14578.45,14993.51,15419.35,15854.32,16296.36,16743.93
Sierra Leone,,694,Country/Area,914,2041.2,2064.47,2088.48,2113.35,2139.09,2165.82,2193.62,2222.6,2252.84,2284.49,2317.64,2352.37,2388.76,2426.86,2466.67,2508.23,2551.58,2596.8,2644.01,2693.34,2744.89,2798.73,2854.87,2913.35,2974.11,3037.16,3102.6,3170.5,3240.84,3313.51,3388.49,3464.11,3540.16,3619.85,3707.51,3805.3,3916.69,4038.15,4156.64,4254.43,4319.76,4348.66,4347.73,4328.97,4309.78,4303.95,4312.66,4335.3,4381.48,4462.37,4584.57,4754.07,4965.77,5201.07,5434,5645.63,5829.24,5989.64,6133.6,6272.74,6415.64,6563.24,6712.59,6863.98,7017.15,7171.91,7328.85,7488.43,7650.15,7813.21,7976.99
Togo,,768,Country/Area,914,1395.45,1425.48,1441.92,1452.09,1461.52,1473.84,1490.72,1512.02,1535.97,1559.68,1580.51,1597.52,1612.76,1631.76,1662.07,1708.63,1774.02,1855.45,1945.78,2034.9,2115.52,2185.67,2247.58,2303.34,2356.62,2410.45,2464.42,2518.45,2576.29,2642.69,2720.84,2812.31,2915.62,3026.98,3140.84,3253,3363.04,3471.74,3577.47,3678.57,3774.31,3863,3945.9,4029.04,4120.62,4226.29,4348.81,4485.95,4632.45,4780.46,4924.41,5062.57,5197.04,5330.63,5467.77,5611.64,5762.88,5920.36,6083.42,6250.84,6421.67,6595.94,6773.81,6954.72,7138,7323.16,7509.95,7698.48,7889.1,8082.36,8278.74
NORTHERN AFRICA AND WESTERN ASIA,,1833,SDG region,1828,100239.14,102643.61,105170.69,107813.26,110566.03,113425.34,116389.26,119457.37,122630.81,125911.62,129301.68,132801.52,136408.97,140118.99,143924.73,147821.73,151812.07,155898.84,160081.14,164357.66,168730.18,173201.25,177780,182483.77,187334.73,192351.45,197531.29,202877.18,208419.19,214194.61,220224.39,226520.86,233060.53,239783.41,246607.3,253469.19,260337.72,267215.51,274113.69,281057.64,288060.44,295134.77,302256.13,309357.57,316350.29,323178.12,329823.07,336326.65,342767.42,349255.93,355881.67,362661.04,369598.61,376756.17,384203.33,391985.54,400125.55,408601.63,417355.41,426301.14,435366.79,444534.98,453795,463088.05,472346.6,481520.02,490571,499496.95,508325.58,517105.56,525869.28
Northern Africa,,912,Subregion,1833,48787.61,49955.12,51184.65,52478.25,53836.68,55259.41,56744.34,58288,59885.84,61532.55,63223.19,64954.58,66726.24,68540.98,70403.44,72316.38,74284.69,76305.74,78366.15,80447.65,82539.48,84637.32,86752.48,88909.32,91141.35,93474.14,95912.55,98453.99,101106.78,103878.66,106772.56,109791.44,112927.37,116157.78,119452.06,122785.32,126143.63,129522.56,132917.37,136326.37,139744.83,143173.36,146599.27,149989.62,153302.57,156510.64,159601.52,162589.7,165508.68,168407.03,171322.85,174275.39,177265.29,180290.67,183342.86,186421.28,189521.63,192665.11,195906.13,199315.26,202940.27,206799.19,210870.34,215111.2,219458.59,223861.6,228307.02,232793.2,237293.8,241780.77,246232.51
Algeria,,12,Country/Area,912,8872.25,9023.26,9186.15,9364.38,9560.15,9774.28,10006.15,10253.78,10514.08,10783.23,11057.86,11336.34,11619.83,11912.8,12221.68,12550.88,12902.63,13275.02,13663.58,14061.72,14464.99,14872.25,15285.99,15709.83,16149.02,16607.71,17085.8,17582.9,18102.27,18647.8,19221.66,19824.3,20452.9,21101.88,21763.58,22431.51,23102.39,23774.29,24443.47,25106.19,25758.87,26400.47,27028.33,27635.52,28213.78,28757.79,29266.42,29742.98,30192.75,30623.41,31042.24,31451.51,31855.11,32264.16,32692.15,33149.72,33641.01,34166.98,34730.6,35333.88,35977.45,36661.44,37383.9,38140.14,38923.69,39728.02,40551.4,41389.17,42228.42,43053.05,43851.04
Egypt,,818,Country/Area,912,20451.99,20948.6,21473.79,22028.13,22611.5,23223.13,23861.51,24524.53,25209.46,25913.23,26632.89,27366.24,28112.26,28871.38,29644.88,30433.02,31237.6,32056.51,32881.85,33703.13,34513.85,35311.91,36102.67,36896.55,37708.14,38549.13,39422.73,40329.59,41275.73,42267.43,43309.06,44400.11,45539.3,46728.28,47968.64,49258.73,50602.36,51991.7,53399.24,54788.68,56134.48,57424.55,58666.81,59880.66,61095.8,62334.03,63601.63,64892.27,66200.26,67515.59,68831.56,70152.66,71485.04,72826.1,74172.07,75523.58,76873.67,78232.12,79636.08,81134.79,82761.24,84529.25,86422.24,88404.65,90424.67,92442.55,94447.07,96442.59,98423.6,100388.08,102334.4
Libya,,434,Country/Area,912,1124.52,1142.98,1163.89,1187.74,1214.82,1245.36,1279.4,1316.91,1357.73,1401.63,1448.42,1498.08,1550.82,1607.17,1667.82,1733.31,1803.69,1878.87,1958.91,2043.82,2133.53,2228.14,2327.49,2430.75,2536.9,2645.14,2754.7,2865.64,2979.1,3096.72,3219.46,3347.78,3480.44,3614.68,3746.71,3873.78,3994.6,4109.72,4220.45,4328.94,4436.66,4544.25,4650.9,4755.13,4854.87,4948.8,5036.17,5118.01,5196.77,5275.92,5357.89,5443.25,5531.1,5620.55,5710.16,5798.62,5886.87,5974.79,6058.74,6133.99,6197.67,6247.44,6285.75,6320.35,6362.04,6418.32,6492.16,6580.72,6678.57,6777.45,6871.29
Morocco,,504,Country/Area,912,8985.99,9243.41,9528.98,9837.08,10162.95,10502.66,10853.17,11212.23,11578.38,11950.75,12328.53,12710.59,13094.89,13478.43,13857.66,14230.16,14595.35,14954.04,15307.27,15656.85,16004.73,16350.88,16696.89,17048.53,17413.15,17796.17,18198.84,18620.09,19059.77,19516.94,19990.01,20479.71,20984.02,21495.09,22002.64,22499.11,22980.33,23447.26,23903.59,24355.62,24807.46,25260.41,25711.41,26155.2,26584.47,26994.26,27383.47,27754.57,28110.45,28455.5,28793.67,29126.32,29454.77,29782.88,30115.2,30455.56,30804.69,31163.67,31536.81,31929.09,32343.38,32781.86,33241.9,33715.71,34192.36,34663.61,35126.27,35581.26,36029.09,36471.77,36910.56
Sudan,,729,Country/Area,912,5733.79,5884.65,6041.33,6204.1,6373.31,6549.29,6732.44,6923.12,7121.74,7328.73,7544.5,7769.48,8004.12,8248.82,8503.99,8770.09,9047.8,9337.66,9639.85,9954.41,10281.7,10621.47,10974.63,11343.92,11732.96,12144.13,12578.4,13034.63,13510.43,14002.3,14507.47,15027.25,15562.13,16107.61,16657.96,17210.18,17757.49,18303.43,18867.56,19476.65,20147.59,20891.44,21696.24,22527.84,23338.47,24094.74,24782.38,25413.91,26015.52,26626.51,27275.02,27971.08,28704.79,29460.52,30214.19,30949.51,31661.82,32360.62,33060.84,33783.78,34545.01,35349.68,36193.78,37072.56,37977.66,38902.95,39847.43,40813.4,41801.53,42813.24,43849.27
Tunisia,,788,Country/Area,912,3605.31,3696.16,3772.93,3838.09,3894.12,3943.54,3988.87,4032.59,4077.21,4125.08,4178.24,4238.14,4305.48,4380.07,4461.11,4547.94,4641,4740.53,4845.22,4953.38,5063.81,5176.29,5291.34,5409.34,5530.98,5656.91,5786.48,5919.96,6060.16,6210.76,6374.04,6551.23,6740.52,6937.33,7135.27,7329.59,7517.85,7700.73,7880.33,8060.21,8242.51,8427.85,8613.86,8795.93,8967.92,9125.4,9267.34,9395.12,9509.86,9613.59,9708.35,9793.92,9871.26,9945.28,10022.28,10106.78,10201.21,10304.73,10414.43,10525.69,10635.25,10741.87,10846.99,10952.95,11063.2,11179.95,11303.94,11433.44,11565.2,11694.72,11818.62
Western Sahara,,732,Country/Area,912,13.76,16.05,17.58,18.73,19.83,21.15,22.8,24.84,27.24,29.91,32.76,35.73,38.85,42.31,46.31,50.97,56.63,63.12,69.48,74.34,76.88,76.37,73.48,70.4,70.21,74.95,85.61,101.18,119.33,136.7,150.86,161.06,168.06,172.9,177.27,182.42,188.6,195.44,202.72,210.07,217.26,224.39,231.73,239.33,247.26,255.64,264.11,272.84,283.07,296.51,314.12,336.65,363.23,391.18,416.8,437.52,452.36,462.21,468.63,474.05,480.27,487.65,495.77,504.86,514.98,526.21,538.74,552.62,567.4,582.46,597.33
Western Asia,,922,Subregion,1833,51451.53,52688.5,53986.04,55335.02,56729.34,58165.93,59644.93,61169.37,62744.98,64379.07,66078.49,67846.94,69682.73,71578.01,73521.29,75505.36,77527.38,79593.1,81714.99,83910.02,86190.69,88563.94,91027.52,93574.45,96193.38,98877.31,101618.74,104423.2,107312.41,110315.95,113451.84,116729.42,120133.16,123625.64,127155.24,130683.88,134194.09,137692.96,141196.33,144731.27,148315.61,151961.42,155656.85,159367.96,163047.72,166667.48,170221.55,173736.95,177258.74,180848.9,184558.82,188385.66,192333.32,196465.5,200860.48,205564.26,210603.92,215936.52,221449.28,226985.88,232426.52,237735.79,242924.67,247976.84,252888.01,257658.41,262263.98,266703.75,271031.78,275324.79,279636.77
Armenia,,51,Country/Area,922,1353.5,1381.87,1418.28,1461.43,1510.18,1563.51,1620.59,1680.71,1743.31,1807.91,1874.12,1941.5,2009.52,2077.58,2145,2211.32,2276.04,2339.13,2401.14,2462.94,2525.07,2587.72,2650.48,2712.78,2773.75,2832.75,2889.58,2944.38,2997.42,3049.11,3099.76,3148.1,3193.7,3238.59,3285.59,3335.94,3392.26,3451.95,3504.67,3536.47,3538.16,3505.25,3442.82,3363.11,3283.66,3217.35,3168.21,3133.08,3108.69,3089.02,3069.6,3050.69,3033.98,3017.94,3000.72,2981.26,2958.3,2932.62,2907.62,2888.09,2877.31,2876.54,2884.24,2897.59,2912.4,2925.56,2936.15,2944.79,2951.74,2957.73,2963.23
Azerbaijan,5,31,Country/Area,922,2927.93,2987.26,3060.01,3142.81,3233.17,3329.37,3430.67,3537.02,3649.19,3768.34,3895.4,4030.33,4171.43,4315.13,4456.69,4592.6,4721.53,4843.87,4960.24,5071.93,5180.03,5284.52,5385.27,5483.09,5579.07,5674.13,5768.73,5863.14,5957.93,6053.64,6150.74,6249.31,6349.56,6452.07,6557.58,6666.45,6778.63,6893.49,7010.03,7126.88,7242.76,7357.95,7471.92,7581.75,7683.7,7775.42,7855.56,7925.67,7989.9,8054.13,8122.74,8197.3,8277.07,8361.43,8448.94,8538.61,8630.15,8724.24,8821.87,8924.38,9032.47,9146.28,9264.68,9385.47,9505.62,9622.74,9736.04,9845.32,9949.54,10047.72,10139.18
Bahrain,,48,Country/Area,922,115.61,116.83,119.59,123.5,128.25,133.58,139.26,145.11,150.98,156.78,162.43,167.9,173.14,178.14,182.89,187.43,191.79,196.06,200.65,206.04,212.61,220.31,229.15,239.53,251.91,266.54,283.75,303.17,323.47,342.8,359.9,374.12,385.95,396.45,407.23,419.43,433.48,448.98,465.2,481.08,495.93,509.76,523.08,536.21,549.59,563.7,578.66,594.93,613.7,636.54,664.61,697.55,735.14,778.71,829.85,889.16,958.42,1035.92,1114.65,1185.08,1240.86,1278.15,1299.94,1315.03,1336.07,1371.85,1425.79,1494.08,1569.44,1641.16,1701.58
Cyprus,6,196,Country/Area,922,494.02,500.38,506.63,513.43,521.19,529.97,539.57,549.47,558.9,566.97,572.93,576.4,577.7,577.92,578.63,580.97,585.31,591.3,598.5,606.12,613.62,620.86,628,635.11,642.32,649.75,657.52,665.52,673.25,680.01,685.41,689.17,691.72,694.08,697.72,703.69,712.34,723.38,736.48,751.04,766.62,783.12,800.61,818.75,837.1,855.39,873.43,891.19,908.71,926.05,943.29,960.27,976.97,993.56,1010.41,1027.66,1045.51,1063.71,1081.57,1098.09,1112.62,1124.84,1135.05,1143.87,1152.3,1160.99,1170.19,1179.69,1189.26,1198.57,1207.36
Georgia,7,268,Country/Area,922,3527.01,3555.88,3588.63,3625.61,3667.08,3713.13,3763.77,3818.86,3878.13,3941.25,4007.72,4077.08,4148.73,4222.16,4296.67,4371.53,4446.84,4521.72,4593.32,4658.01,4713.34,4758.16,4793.56,4822.17,4847.87,4873.64,4900.19,4927.25,4955.52,4985.59,5017.83,5051.12,5085.14,5121.8,5163.64,5211.45,5267.23,5327.5,5380.82,5411.98,5410.4,5373,5303.93,5208.95,5097.13,4976.25,4846.63,4709.6,4575.4,4456.65,4362.18,4296.98,4258.57,4238.93,4225.81,4210.16,4189.72,4166.86,4142.65,4119.49,4099.1,4081.01,4064.1,4048.7,4035.31,4024.18,4015.46,4008.72,4002.95,3996.76,3989.18
Iraq,,368,Country/Area,922,5719.18,5901.51,6065.01,6216.13,6360.44,6502.66,6646.64,6795.4,6951.16,7115.51,7289.75,7475.35,7674.22,7888.91,8122.2,8375.8,8651.16,8947.4,9260.69,9585.59,9917.98,10255.85,10599.66,10950.89,11312.06,11684.58,12068.68,12462.06,12860.68,13259.11,13653.35,14044.12,14432.47,14815.65,15190.4,15555.81,15909.76,16257.07,16612.32,16994.94,17419.11,17889.46,18402.74,18955.09,19539.35,20149.34,20783.07,21439.58,22114.33,22802.06,23497.59,24208.18,24931.92,25644.5,26313.84,26922.28,27448.12,27911.24,28385.74,28973.16,29741.98,30725.31,31890.01,33157.06,34411.95,35572.27,36610.63,37552.79,38433.6,39309.79,40222.5
Israel,,376,Country/Area,922,1257.97,1345.34,1435.83,1525.36,1611.17,1691.87,1767.49,1839.37,1910.04,1982.76,2060.48,2144.65,2234.2,2325.15,2411.78,2490.32,2558.72,2619.1,2676.97,2740.07,2813.75,2900.02,2996.48,3098.79,3200.53,3296.93,3387.05,3472.12,3552.3,3628.31,3700.92,3770.69,3838.11,3903.95,3969.18,4035.06,4100.54,4167.13,4241.79,4333.58,4448.35,4589.31,4752.83,4929.41,5105.57,5271.37,5424.24,5566.55,5699.28,5824.94,5945.95,6060.68,6169.31,6278.37,6396.51,6529.47,6680.64,6847.15,7020.83,7190.04,7346.45,7487.1,7614.95,7734.83,7854.22,7978.5,8108.98,8243.85,8381.51,8519.37,8655.54
Jordan,,400,Country/Area,922,481.32,536.4,576.28,609.98,644.12,682.98,728.21,779.11,832.98,885.59,933.1,973.98,1010.65,1050.21,1102.4,1173.6,1267.06,1379,1500.17,1617.43,1721.32,1809.19,1883.92,1948.44,2007.74,2065.92,2123.18,2179.36,2237.94,2303.12,2378,2464.87,2563.53,2671.41,2784.46,2900.06,3015.29,3131.8,3256.55,3399.33,3565.89,3760.49,3977.67,4201.56,4410.36,4588.84,4732.85,4848.54,4943.98,5031.75,5122.5,5217.33,5317.51,5434.04,5580.24,5765.64,5991.55,6255.29,6556.47,6893.26,7261.54,7662.86,8089.96,8518.99,8918.82,9266.57,9554.29,9785.84,9965.32,10101.7,10203.14
Kuwait,,414,Country/Area,922,153.1,158.01,162.8,167.99,174.15,181.89,191.89,204.89,221.62,242.8,269.03,300.58,337.35,378.76,423.9,472.03,523.17,577.16,632.91,688.97,744.44,798.64,851.92,905.64,961.77,1021.73,1085.87,1153.57,1224.06,1296.08,1368.68,1439.33,1507.64,1576.98,1652.15,1735.28,1832.3,1938.92,2034.85,2092.79,2095.35,2031.3,1912.43,1772.61,1659.3,1605.91,1626.86,1710.26,1831.12,1951.64,2045.12,2103.27,2136.99,2161.63,2200.5,2270.2,2373.66,2504.03,2656.01,2821.04,2991.88,3168.05,3348.85,3526.38,3690.94,3835.59,3956.86,4056.1,4137.31,4207.08,4270.56
Lebanon,,422,Country/Area,922,1334.62,1358.23,1392.73,1434.85,1481.97,1532.12,1584.04,1637.13,1691.38,1747.17,1804.94,1864.61,1925.3,1985,2041.23,2092.37,2136.62,2174.73,2210.77,2250.45,2297.44,2354.05,2417.84,2481.94,2536.77,2575.75,2596.41,2601.73,2597.2,2590.91,2588.93,2594.3,2606.15,2622.07,2638.06,2651.99,2660.87,2667.96,2684.68,2726.44,2803.03,2921.7,3076.13,3246.13,3403.36,3528.38,3610.66,3658.43,3693.51,3747.76,3842.77,3991,4182.21,4388.38,4569.38,4698.76,4759.76,4767.35,4764.75,4813.03,4953.06,5202.02,5537.62,5913.02,6261.05,6532.68,6714.28,6819.37,6859.41,6855.71,6825.44
Oman,,512,Country/Area,922,456.41,462.26,469.35,477.44,486.32,495.83,505.89,516.47,527.59,539.32,551.74,564.89,578.83,593.5,608.89,625.01,642.01,660.12,679.59,700.73,723.84,748.97,776.39,806.99,841.95,882.04,927.43,977.8,1032.8,1091.86,1154.37,1220.58,1290.12,1361.09,1431.07,1498.41,1561.18,1619.87,1678.12,1741.16,1812.16,1893.76,1983.27,2072.11,2148.42,2204.27,2236.65,2249.76,2251.86,2254.9,2267.97,2294.96,2334.86,2386.16,2445.52,2511.25,2580.75,2657.16,2750.96,2876.19,3041.44,3251.1,3498.03,3764.81,4027.26,4267.34,4479.22,4665.93,4829.48,4974.99,5106.62
Qatar,,634,Country/Area,922,25.01,27.5,29.87,32.06,34.05,35.86,37.62,39.45,41.54,44.12,47.38,51.43,56.27,61.72,67.56,73.63,79.85,86.3,93.21,100.88,109.52,119.41,130.51,142.18,153.62,164.31,173.72,182.32,191.95,205.17,223.62,247.98,277.23,309.3,341.27,370.89,397.74,422.15,443.61,461.69,476.28,487.35,495.4,501.48,507.04,513.45,522.53,535.32,551.57,570.49,592.47,615.01,640.87,681.79,753.33,865.41,1022.7,1218.44,1436.67,1654.94,1856.33,2035.86,2196.08,2336.58,2459.2,2565.71,2654.38,2724.73,2781.68,2832.07,2881.06
Saudi Arabia,,682,Country/Area,922,3121.34,3198.81,3283.59,3372.84,3464.66,3558.17,3653.51,3751.8,3855.03,3965.8,4086.53,4218.85,4362.79,4516.54,4677.3,4843.63,5015.35,5195.12,5387.82,5599.91,5836.39,6100.63,6392.97,6711.92,7054.53,7419.49,7802.93,8207.7,8646.85,9137.93,9691.47,10311.77,10988.85,11701.13,12418.84,13119,13794.17,14445.66,15070.08,15666.29,16233.79,16772.7,17282.69,17763.3,18214.48,18638.79,19033.84,19407.14,19783.3,20194.53,20663.84,21202.65,21805.32,22456.65,23132.69,23816.18,24498.31,25184.59,25888.54,26630.3,27421.47,28267.59,29154.91,30052.06,30916.6,31717.68,32443.44,33101.18,33702.76,34268.53,34813.87
State of Palestine,8,275,Country/Area,922,931.93,923.89,932.07,948.89,968.7,987.75,1004.29,1018.48,1032.1,1048.13,1069.32,1096.75,1128.58,1159.4,1181.89,1191.38,1184.97,1165.75,1142.22,1126.37,1126.63,1146.32,1182.43,1229.37,1278.56,1323.81,1363.62,1400.12,1434.99,1471.14,1510.72,1554.19,1600.96,1650.93,1703.81,1759.53,1817.98,1879.75,1946.38,2019.83,2101.45,2191,2287.68,2391.4,2501.97,2618.67,2742.53,2872.01,3000.62,3119.87,3224.01,3309.91,3380.16,3441.87,3505.32,3577.96,3662.42,3756.46,3856.69,3957.68,4055.63,4149.65,4241.57,4333.52,4428.63,4529.16,4635.64,4747.23,4862.98,4981.42,5101.42
Syrian Arab Republic,,760,Country/Area,922,3413.33,3498.53,3591,3690.73,3797.64,3911.5,4032.07,4158.98,4291.81,4430.1,4573.51,4721.89,4875.43,5034.64,5200.34,5373.14,5553.25,5740.7,5935.85,6139.05,6350.54,6570.86,6800.15,7037.86,7283.18,7535.72,7794.66,8060.65,8336.42,8625.69,8930.78,9252.85,9590.23,9938.85,10293.05,10648.63,11004.27,11360.85,11719.06,12080.44,12446.17,12815.4,13187.67,13565.07,13950.49,14345.49,14754.15,15175.31,15599.59,16013.99,16410.85,16766.56,17084.63,17415.21,17827.83,18361.18,19059.26,19878.26,20664.04,21205.87,21362.54,21081.81,20438.86,19578.47,18710.71,17997.41,17465.57,17095.67,16945.06,17070.13,17500.66
Turkey,,792,Country/Area,922,21408.4,21951.2,22508.95,23081.59,23668.91,24270.6,24886.13,25514.83,26155.93,26808.63,27472.34,28146.91,28832.83,29531.36,30244.26,30973,31717.5,32477.99,33256.47,34055.39,34876.3,35720.6,36587.27,37472.33,38370.28,39277.25,40189.56,41108.29,42039.98,42994.04,43975.97,44988.41,46025.41,47073.47,48114.16,49133.93,50128.55,51100.93,52053.76,52992.48,53921.76,54840.6,55748.95,56653.81,57564.21,58486.45,59423.28,60372.57,61329.67,62287.39,63240.2,64192.24,65145.36,66089.4,67010.93,67903.46,68756.81,69581.85,70418.61,71321.41,72326.99,73443.25,74651.05,75925.45,77229.26,78529.41,79827.87,81116.45,82340.09,83429.61,84339.07
United Arab Emirates,,784,Country/Area,922,69.59,67.47,69.24,72.77,76.52,79.58,81.62,82.96,84.42,87.19,92.42,100.8,112.11,125.13,138.05,149.86,159.98,169.77,182.62,203.1,234.51,277.46,330.97,394.63,467.46,548.3,637.93,735.35,835.5,931.75,1019.51,1096.6,1164.82,1228.46,1293.97,1366.17,1446.39,1533.53,1627.07,1725.68,1828.44,1937.16,2052.89,2173.14,2294.38,2415.1,2539.12,2671.36,2813.21,2966.03,3134.07,3302.72,3478.77,3711.93,4068.58,4588.22,5300.17,6168.85,7089.49,7917.37,8550,8946.78,9141.6,9197.91,9214.18,9262.9,9360.98,9487.21,9630.97,9770.53,9890.4
Yemen,,887,Country/Area,922,4661.28,4717.14,4776.18,4837.61,4900.84,4965.57,5031.7,5099.35,5168.87,5240.72,5315.35,5393.03,5473.67,5556.77,5641.6,5727.75,5816.24,5907.87,6001.86,6097.04,6193.38,6290.37,6390.57,6500.81,6630,6784.7,6967.94,7178.67,7414.17,7669.7,7941.9,8231.91,8541.61,8869.36,9213.08,9572.17,9941.1,10322.04,10730.86,11189.19,11709.99,12302.13,12954.16,13634.08,14297.62,14913.31,15469.27,15975.68,16450.31,16921.16,17409.07,17918.37,18443.68,18985,19540.1,20107.42,20687.65,21282.51,21892.15,22516.46,23154.85,23807.59,24473.18,25147.11,25823.49,26497.88,27168.21,27834.81,28498.68,29161.92,29825.97
CENTRAL AND SOUTHERN ASIA,,921,SDG region,1828,510788.12,519324.11,528392.16,537978.37,548072.05,558665.57,569754.39,581337.22,593415.26,605991.43,619067.7,632642.38,646707.74,661248.89,676246.82,691686.86,707574.25,723911.66,740680.92,757859.08,775436.81,793405.04,811788.81,830656.04,850097.28,870180.43,890916.01,912291.56,934320.27,957010.83,980358.99,1004358.39,1028976.45,1054145.2,1079776.3,1105791.3,1132153.18,1158827.88,1185742.71,1212816.93,1239984.31,1267202.26,1294448.16,1321702.62,1348955.98,1376199.57,1403396.45,1430528.36,1457628.37,1484748.37,1511915.31,1539136.3,1566364.5,1593507.36,1620441.54,1647073.79,1673377.86,1699363.67,1725021.19,1750350.92,1775360.53,1800024.3,1824353.2,1848437.78,1872400.99,1896327.29,1920242.52,1944108.54,1967865.6,1991423.51,2014708.53
Central Asia,,5500,Subregion,921,17449.57,17864,18366.01,18942.19,19581.03,20272.98,21010.36,21787.45,22600.22,23445.79,24321.26,25222.3,26141.98,27070.33,27995.64,28908.82,29805.7,30685.3,31546.15,32388.06,33211.58,34015.8,34801.8,35575.35,36344.24,37115.09,37889.5,38668.62,39457.72,40262.85,41088.16,41931.85,42792.05,43671.91,44575.24,45501.8,46455.04,47425.56,48384.24,49292.56,50122.9,50867.62,51534.45,52131.09,52671.51,53169.13,53625.32,54045.67,54453.83,54879.54,55345.85,55864.2,56435.66,57059.99,57732.41,58449.9,59212.41,60024.02,60889.77,61815.9,62805.09,63857.19,64965.27,66116.22,67292.69,68479.99,69672.93,70867.46,72051.62,73212.11,74338.93
Kazakhstan,,398,Country/Area,5500,6703,6811.56,7006.64,7269.05,7582.3,7932.52,8308.59,8702.08,9106.9,9518.91,9934.56,10349.42,10756.93,11147.86,11511.86,11841.93,12132.56,12385.71,12611.43,12824.61,13036.14,13250.21,13463.99,13673.01,13869.98,14050.23,14212.15,14359.63,14499.96,14643.13,14796.18,14958.9,15128.09,15303.32,15483.41,15665.59,15852.52,16039.25,16206,16326.85,16383.88,16373.31,16302.81,16181.16,16022.22,15839.36,15631.93,15406.01,15190.17,15020.57,14922.72,14910.21,14976.18,15100.05,15250.02,15402.8,15551.26,15702.11,15862.13,16043.02,16252.27,16490.67,16751.52,17026.12,17302.62,17572.01,17830.9,18080.02,18319.62,18551.43,18776.71
Kyrgyzstan,,417,Country/Area,5500,1740.01,1765.56,1795.14,1828.2,1864.5,1904.07,1947.22,1994.56,2046.91,2105.19,2170.09,2241.76,2319.45,2401.46,2485.43,2569.45,2653.05,2736.07,2817.32,2895.54,2969.86,3039.76,3105.53,3168.29,3229.68,3291.07,3352.62,3414.33,3477.22,3542.51,3610.97,3682.66,3757.17,3834.14,3913.02,3993.08,4075.14,4158.58,4239.28,4311.86,4372.89,4419.63,4454.19,4483.84,4518.81,4566.1,4629.4,4705.65,4786.77,4861.12,4920.71,4962.84,4991.48,5013.54,5039,5075.34,5124.38,5184.38,5254.97,5334.71,5422.3,5517.93,5621.58,5731.31,5844.52,5959.13,6074.33,6189.73,6304.03,6415.85,6524.19
Tajikistan,,762,Country/Area,5500,1531.51,1585,1637.95,1690.34,1742.35,1794.42,1847.25,1901.78,1959.14,2020.56,2087.05,2159.13,2236.56,2318.25,2402.47,2487.98,2574.51,2662.26,2750.93,2840.27,2930.11,3020.42,3111.28,3203.04,3296.09,3390.94,3487.66,3586.52,3688.41,3794.46,3905.44,4020.82,4140.3,4265.28,4397.56,4537.82,4687.33,4844,5001.17,5149.87,5283.81,5400.64,5502.49,5593.32,5679.17,5764.81,5851.35,5938.4,6027.4,6119.66,6216.33,6318.51,6426.86,6541.55,6662.39,6789.32,6922.59,7062.67,7209.92,7364.75,7527.4,7697.51,7874.84,8059.78,8252.83,8454.02,8663.58,8880.27,9100.85,9321.02,9537.64
Turkmenistan,,795,Country/Area,5500,1211,1231.83,1258.38,1289.83,1325.43,1364.64,1406.99,1452.18,1500.01,1550.42,1603.25,1658.36,1715.41,1773.85,1833.07,1892.6,1952.14,2011.76,2071.79,2132.8,2195.17,2258.97,2324.02,2390.21,2457.38,2525.37,2594.32,2664.26,2734.9,2805.82,2876.81,2947.78,3019.06,3091.51,3166.22,3244.02,3324.46,3407.31,3493.89,3585.87,3683.98,3789.19,3899.84,4010.79,4115.11,4207.84,4287.34,4355.13,4413.48,4466.13,4516.13,4564.09,4610.02,4655.75,4703.4,4754.65,4810.11,4870.14,4935.77,5007.95,5087.21,5174.08,5267.91,5366.38,5466.32,5565.28,5662.37,5757.67,5850.9,5942.09,6031.19
